RU;7;1166;TransparentCalls;0.67;181;32;37
US;31;1471;E-Voice;0.64;365;45;55
GB;68;1463;TransparentCalls;0.72;890;54;5
FR;10;794;TransparentCalls;0.76;61;90;57
BL;67;459;E-Voice;0.93;681;65;32
AT;37;371;TransparentCalls;0.71;277;0;15
BG;67;892;E-Voice;0.82;415;53;41
DK;27;798;JustPhone;0.87;768;16;43
CA;97;215;JustPhone;0.75;465;91;30
ES;98;1814;E-Voice;0.88;533;68;17
CH;51;1983;JustPhone;0.97;688;70;41
TR;98;1363;TransparentCalls;0.72;29;29;15
PE;59;277;JustPhone;0.68;442;1;7
NZ;66;972;JustPhone;0.92;806;51;30
MC;13;696;E-Voice;0.62;276;45;18
